"name","position","department","degree"
"LAWLER,JAMES EDWARD","Professor","Physics","PHD 1978 Univ of Wisconsin-Madison"
"LAYOUN,MARY N.","Professor","Comp Lit &amp; Folklore Studies","PHD 1984 Univ of California Berkeley"
"LAZARIAN,ALEX","Professor","Astronomy","PHD 1995 University of Cambridge"
"LE,HAU D","Assistant Professor","Surgery","MD 2005 Boston University"
"LECLAIR, JESSICA","Clinical Instructor","Nursing","MPH 2016 Univ of Massachusetts Amherst"
"LECUYER,TRISTAN S","Professor","Atmospheric &amp; Oceanic Sciences","PHD 2001 Colorado State University"
"LEDERER,SUSAN MARIE","Professor","Dept Of Med History&amp;Bioethics","PHD 1987 Univ of Wisconsin-Madison"
"LEDESMA,EDNA","Assistant Professor","Planning &amp; Landscape Arch","PHD 2016 Texas A &amp; M University"
"LEE,ALICIA","Assistant Professor","Mead Witter School Of Music","MM 2006 Univ of Southern California"
"LEE,CAROL EUNMI","Professor","Integrative Biology","PHD 1997 Univ of California San Diego"
"LEE,CHOUA","Lecturer","Asian Languages &amp; Cultures","MA 2004 Edgewood College"
"LEE,GRACE","Assoc Faculty Assoc","Kinesiology","PHD 2009 Univ of Wisconsin-Madison"
"LEE,HARRY","Visiting Asst Prof","Mathematics","PHD 2020 Univ of Michigan at Ann Arbor"
"LEE,HELEN","Associate Professor","Art","MFA 2006 Rhode Island School of Design"
"LEE,JOHN","Professor","Industrial &amp; Systems Engr","PHD 1992 Univ of IL at Urbana-Champaign"
"LEE,JONAS J","Assoc Professor (Chs)","Family Medicine","MD 1996 University of Kansas"
"LEE,KANGWOOK","Assistant Professor","Electrical &amp; Computer Engr","PHD  Univ of California Berkeley"
"LEE,LAURA","Clinical Instructor","Pathobiological Sciences","DVM 2017 Univ of Wisconsin-Madison"
"LEE,RACHEL","Clinical Asst Prof","Communication Sci &amp; Disorders","AUD 2013 Univ of Wisconsin-Madison"
"LEE,STACEY","Professor","Educational Policy Studies","PHD 1991 University of Pennsylvania"
"LEE,TEV","Lecturer","Counseling Psychology","EDM 2014 Univ of Wisconsin-La Crosse"
"LEE,YOUNGSOOK","Associate Professor","Cell And Regenerative Biology","PHD 1989 Univ of Wisconsin-Madison"
"LEES,THOMAS MICHAEL","Lecturer","Art","AS 2011 Cabrillo College"
"LEFF,PAUL ADAM","Lecturer","Finance","MS 1983 Univ of Wisconsin-Madison"
"LEGAULT,HOBBES","Assoc Faculty Assoc","Computer Sciences","PHD 2018 Univ of Wisconsin-Madison"
"LEGENZA,LAUREL","Assoc Faculty Assoc","Pharmacy","PHD 2013 Univ of Wisconsin-Madison"
"LEI,REED","Assistant Professor","Political Science","PHD 2020 New York University"
"LEITH,ELIZABETH A.","Lecturer","Anthropology","MA 2006 University of Oklahoma"
"LEKO,MELINDA","Professor","Rehab Psychology &amp; Special Ed","PHD 2008 University of Florida"
"LEMASTER,TRACY WENDT","Lecturer","Gender And Women Studies","PHD 2012 Univ of Wisconsin-Madison"
"LEMIRAND-POEPPING,DAWN","Faculty Associate","Curriculum And Instruction","MA 2014 Univ of Wisconsin-Madison"
"LEMPP,STEFFEN","Professor","Mathematics","PHD 1986 University of Chicago"
"LENNIX,SHAWN","Clinical Instructor","Pathobiological Sciences","DVM 2003 Univ of Wisconsin-Madison"
"LENTZ,RASMUS","Professor","Economics","PHD 2002 Northwestern University"
"LEONARD,KATHERINE","Clinical Instructor","Surgical Sciences","DVM 2016 Tufts University"
"LEONE,VANESSA","Assistant Professor","Animal And Dairy Sciences","PHD 2009 Univ of Wisconsin-Madison"
"LEPOWSKY,MARIA","Professor","Anthropology","PHD 1981 Univ of California Berkeley"
"LERMAN,OMER","Clinical Instructor","Pathobiological Sciences","DVM 2011 "
"LESIEUTRE,BERNIE","Professor","Electrical &amp; Computer Engr","PHD 1993 Univ of IL at Urbana-Champaign"
"LESLIE,TREVOR M","Visiting Asst Prof","Mathematics","PHD 2018 "
"LESSARD,LAURENT","Assistant Professor","Electrical &amp; Computer Engr","PHD 2011 Stanford University"
"LEVCHENKO,ALEX","Professor","Physics","PHD 2009 Univ of Minnesota-Twin Cities"
"LEVCHENKO,POLINA","Asst Faculty Assoc","Human Development&amp;Family Study","PHD 2013 Univ of Minnesota-Twin Cities"
"LEVENSON,BARRY MARTIN","Adjunct Instructor","Law School","JD 1974 Univ of Wisconsin-Madison"
"LEVERTY,TYLER","Associate Professor","Risk &amp; Insurance","PHD 2005 Georgia State University"
"LEVIN,KEITH D.","Assistant Professor","Statistics","PHD 2017 Johns Hopkins University"
"LEVINE,OLIVER","Associate Professor","Finance","PHD 2011 University of Pennsylvania"
"LEWIS,ALICE KELSEY","Assoc Lecturer","Gender And Women Studies","PHS  University of Florida"
"LEWIS,DAVID LAWRENCE","Adjunct Professor","Ms In Biotechnology Degree Prg","PHD 1994 Michigan State University"
"LEWIS,PETER W","Associate Professor","Biomolecular Chemistry","PHD 2006 Univ of California Berkeley"
"LEWIS,SHANA RUTH","Adjunct Instructor","Ex Mba Program Office","JD 1999 Univ of Wisconsin-Madison"
"LEWIS-WILLIAMS,TRACY","Faculty Associate","Computer Sciences","PHD 2004 VA Polytechnic Inst &amp; State U"
"LI,CHIAO-PING","Professor","Dance","MA 1989 Univ of California Los Angeles"
"LI,JAMES","Assistant Professor","Psychology","PHD 2013 Univ of California Los Angeles"
"LI,JINGSHAN","Professor","Industrial &amp; Systems Engr","PHD 2000 Univ of Michigan at Ann Arbor"
"LI,KE","Assistant Professor","Medical Physics","PHD 2013 Univ of Wisconsin-Madison"
"LI,LINGJUN","Professor","Pharmacy","PHD 2000 Univ of IL at Urbana-Champaign"
"LI,MIN","Senior Lecturer","Management &amp; Human Resources","PHD 2008 Duke University"
"LI,NAN","Assistant Professor","Life Sciences Communication","PHD 2015 Univ of Wisconsin-Madison"
"LI,QIN","Associate Professor","Mathematics","PHD 2013 Univ of Wisconsin-Madison"
"LI,SHARON","Assistant Professor","Computer Sciences","PHD 2017 Cornell University"
"LI,WAN-JU","Associate Professor","Orthopedics And Rehabilitation","PHD 2004 Thomas Jefferson University"
"LI,WEIJIA","Assistant Professor","German, Nordic &amp; Slavic","PHD 2009 Ohio State University"
"LI,YAFEI","Professor","Language Sciences Program","PHD 1990 Massachusetts Inst Of Tech"
"LI,YIN","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2017 Georgia Inst of Technology"
"LI,YUHANG","Associate Professor","Art History","PHD 2011 University of Chicago"
"LIANG,YINGYU","Assistant Professor","Computer Sciences","PHD 2014 Georgia Inst of Technology"
"LIANG,YUN","Assistant Professor","Medical Microbiology","PHD 2013 Univ of California San Diego"
"LIDOR,ANNE","Professor (Chs)","Surgery","MD 1996 Touro College"
"LIEBE,ETHAN","Assoc Lecturer","Accting &amp; Info Sys","MACC 2020 Univ of Wisconsin-Madison"
"LIGHT,MICHAEL THOMAS","Associate Professor","Sociology","PHD 2013 Pennsylvania State University"
"LIKOS,WILLIAM","Professor","Civil &amp; Environmental Engr","PHD 2000 Colorado School of Mines"
"LIM,BYUNG-JIN","Associate Professor","Asian Languages &amp; Cultures","PHD 2003 Indiana University"
"LIM,CHAEYOON","Professor","Sociology","PHD 2007 Harvard University"
"LIM,CI JI","Assistant Professor","Biochemistry","PHD 2014 National Univ. of Singapore"
"LIM,SIN YIN","Asst Professor (Chs)","Pharmacy","PHARMD 2016 University of Oklahoma"
"LIN,JASON CHIEH-SHEN","Senior Lecturer","Engr Professional Development","PHD 1988 Univ of Wisconsin-Madison"
"LINDBERG,SARA","Asst Professor (Chs)","Population Health Sciences","PHD 2008 Univ of Wisconsin-Madison"
"LINDEMANN,ABBY","Lecturer","Counseling Psychology","PHD 2017 Univ of Wisconsin-Madison"
"LINDEROTH,JEFFREY","Professor","Industrial &amp; Systems Engr","PHD 1998 Georgia Inst of Technology"
"LINDLEY,BEN","Assistant Professor","Engineering Physics","PHD  "
"LINDROTH,RICK","Professor","Entomology","PHD 1984 Univ of IL at Urbana-Champaign"
"LINDSAY,KEISHA","Associate Professor","Gender And Women Studies","PHD 2009 University of Chicago"
"LINDSEY,MELISSA","Faculty Associate","Mathematics","PHD 2011 Purdue University"
"LINDSTROM,TIMOTHY DAVID","Assoc Lecturer","Office Of Sustainability","PHD 2020 Univ of Wisconsin-Madison"
"LINSMEIER,THOMAS J.","Professor","Accting &amp; Info Sys","PHD 1985 Univ of Wisconsin-Madison"
"LINTNER,KIM","Clinical Instructor","Academic Affairs","PHARMD 2001 Univ of Wisconsin-Madison"
"LINZMEIER,BENJAMIN JOHN","Assoc Lecturer","Geoscience","PHD 2017 Univ of Wisconsin-Madison"
"LIPASTI,MIKKO","Professor","Electrical &amp; Computer Engr","PHD 1997 Carnegie-Mellon University"
"LIPINSKI,ROBERT JAN","Associate Professor","Comparative Biosciences","PHD 2008 Univ of Wisconsin-Madison"
"LISOWSKI,DAN","Associate Professor","Theatre &amp; Drama","MFA 2009 Yale University"
"LITOVSKY,RUTH Y","Professor","Communication Sci &amp; Disorders","PHD 1991 Univ of Massachusetts Amherst"
"LITZELMAN,KRISTIN","Assistant Professor","School Of Human Ecology","PHD 2013 Univ of Wisconsin-Madison"
"LIU,BO","Professor","Surgery","PHD 1993 SUNY Health Sci Cntr-Syracuse"
"LIU,GLENN","Professor","Medicine","MD 1997 Thomas Jefferson University"
"LIU,KAIBO","Associate Professor","Industrial &amp; Systems Engr","PHD 2013 Georgia Inst of Technology"
"LIU,QING","Associate Professor","Marketing","PHD 2006 Ohio State University"
"LIU,RAN","Assistant Professor","Educational Policy Studies","PHD 2019 University of Pennsylvania"
"LIVANOS,CHRISTOPHER","Professor","#N/A","PHD 2001 Harvard University"
"LIVORNI,ERNESTO","Professor","French And Italian","PHD 1990 University of Connecticut"
"LIWE,AMELIA JOAN","Faculty Associate","Se Asian Summer Studies Inst","PHD 2010 Univ of Wisconsin-Madison"
"LLOYD,SARAH","Associate Scientist","Ctr For Integrated Agric Syst","PHD 2012 Univ of Wisconsin-Madison"
"LO SARDO,VALENTINA","Assistant Professor","Cell And Regenerative Biology","PHD 2010 Univ degli Studi di Milano"
"LO,ADELINE Y","Assistant Professor","Political Science","PHD 2016 Univ of California San Diego"
"LOCONTE,NOELLE","Associate Professor","Medicine","MD 2000 Univ of Illinois at Chicago"
"LOEB,DAN","Professor","Oncology","PHD 1988 Univ Of NC At Chapel Hill"
"LOEBER,SAMANTHA","Clinical Asst Prof","Surgical Sciences","DVM 2015 Colorado State University"
"LOEWEN,CARIN","Asst Faculty Assoc","Genetics","PHD 2005 Colorado State University"
"LOFTON,LAUREN K.","Lecturer","Real Estate &amp; Urgan Land Econ","JD 2003 Washington University"
"LOH,PO-LING","Associate Professor","Statistics","PHD 2014 Univ of California Berkeley"
"LOH,WEI-YIN","Professor","Statistics","PHD 1982 Univ of California Berkeley"
"LOHEIDE II,STEVEN PAUL","Professor","Civil &amp; Environmental Engr","PHD 2006 Stanford University"
"LOKUTA,ANDREW J","Faculty Associate","Kinesiology","PHD 1993 Univ Of Maryland At Baltimore"
"LONDON-JOHNSON,ANTOINETTE MARIE","Assoc Lecturer","Human Development&amp;Family Study","PHD 2020 Florida State University"
"LONG,MICAH THOMAS","Asst Professor (Chs)","Anesthesiology","MD 2009 Univ of Wisconsin-Madison"
"LONG,PETE","Assoc Faculty Assoc","Journalism&amp;Mass Communication","MBA  Pepperdine University"
"LONG,XIAOYANG","Assistant Professor","Operations &amp; Information Mgmt","PHD 2017 Hong Kong Univ of Sci &amp; Tech"
"LONGO,LANCE PETER","Clinical Adjunct Assoc Prof","Volunteer Staff","MD 1990 Medical College Of Wisconsin"
"LOOK,KEVIN","Assistant Professor","Pharmacy","PHD 2013 Univ of Wisconsin-Madison"
"LOPEZ,JASON","Assistant Professor","Communication Arts","PHD 2011 Indiana University"
"LOPEZ,LORI","Associate Professor","Communication Arts","PHD 2012 Univ of Southern California"
"LOPEZ-HERNANDEZ,ARNOLDO","Lecturer","Food Science","PHD 2006 Universidad Veracruzana"
"LOR,MAICHOU","Assistant Professor","Nursing","PHD 2017 Univ of Wisconsin-Madison"
"LORD PLUMMER,KIM","Senior Lecturer","Comparative Biosciences","PHD 1992 Univ of Wisconsin-Madison"
"LOTHARY,BRITTA N","Clinical Instructor","Nursing","MSN 2012 Maryville Univ Of St. Louis"
"LOTHE,KATIE","Clinical Assoc Prof","Nursing","DNP 2012 Univ of Wisconsin-Milwaukee"
"LOTLIKAR,SUSHMITA","Lecturer","Counseling Psychology","MSED 2014 "
"LOTTA,CORISSA","Faculty Associate","Counseling Psychology","PHD 2001 Arizona State University"
"LOUDEN,MARK","Professor","German, Nordic &amp; Slavic","PHD 1988 Cornell University"
"LOUIE,NICOLE L","Assistant Professor","Curriculum And Instruction","PHD 2015 Univ of California Berkeley"
"LOVE,HAILEY","Assistant Professor","Rehab Psychology &amp; Special Ed","PHD 2018 University of Kansas"
"LOVELACE,DAVID MICHAEL","Assistant Scientist","Geoscience","PHD 2012 Univ of Wisconsin-Madison"
"LOWE,CHLORIS","Lecturer","Amer Ind St","MFA 2009 Rhode Island School of Design"
"LOYD,JENNA M","Associate Professor","Geography","PHD 2005 U of California Ext-Berkeley"
"LU,QIONGSHI","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2017 Yale University"
"LUBNER,SAM JOSEPH","Assoc Professor (Chs)","Medicine","MD 2003 Univ of Wisconsin-Madison"
"LUBSEN,JULIA R","Asst Professor (Chs)","Family Medicine","MD 2013 Yale University"
"LUBY,CLAIRE","Lecturer","Educational Policy Studies","PHD 2016 Univ of Wisconsin-Madison"
"LUCEY,JOHN A.","Professor","Food Science","PHD 1992 Ireland (Eire)"
"LUCEY,MICHAEL R","Professor","Medicine","MD 1985 Univ of Dublin-Trinity College"
"LUCK,BRIAN","Assistant Professor","Biological Systems Engineering","PHD 2013 Mississippi State University"
"LUDOIS,DANIEL COLIN","Associate Professor","Electrical &amp; Computer Engr","PHD 2011 Univ of Wisconsin-Madison"
"LUDVIK,GEOFFREY EDMOND","Assoc Lecturer","Anthropology","PHD 2018 Univ of Wisconsin-Madison"
"LUDWIG,KIP ALLAN","Associate Professor","Biomedical Engineering","PHD  "
"LUEDTKE,JIM","Professor","Industrial &amp; Systems Engr","PHD 2007 Georgia Inst of Technology"
"LUKSZYS,PETER B","Senior Lecturer","Grainger Ctr For Scm","MBA 2001 Univ of Wisconsin-Madison"
"LUNASIN,EVELYN M","Visiting Assoc Prof","Mathematics","PHD 2007 Univ of California Irvine"
"LUND,JANE RENEE","Clinical Asst Prof","Surgical Sciences","DVM 2007 Univ of Wisconsin-Madison"
"LUPYAN,GARY","Professor","Psychology","PHD 2007 Carnegie-Mellon University"
"LUTER,DAVID GAVIN","Assoc Lecturer","Planning &amp; Landscape Arch","PHD 2015 SUNY at Buffalo"
"LUTZ,ROBERT SCOTT","Associate Professor","Forest &amp; Wildlife Ecology","PHD 1987 Oregon State University"
"LUZZIO,CHRISTOPHER C","Assoc Professor (Chs)","Neurology","MD 1993 Univ of Kansas Medical Center"
"LYNCH,DAN","Associate Professor","Accting &amp; Info Sys","PHD 2014 Michigan State University"
"LYNN,DAVID M.","Professor","Chemical &amp; Biological Engr","PHD 1999 California Institute of Tech"
"LYONS,JOHN DAVID","Assoc Lecturer","Integrative Biology","PHD 1984 Univ of Wisconsin-Madison"
"MA,CHU","Assistant Professor","Electrical &amp; Computer Engr","PHD 2019 Massachusetts Inst Of Tech"
"MA,ZHENQIANG","Professor","Electrical &amp; Computer Engr","PHD 2001 Univ of Michigan at Ann Arbor"
"MACASAET,DAVID WEBER","Lecturer","Counseling Psychology","MFA 2005 University of Montana"
"MACAULAY,MONICA","Professor","Language Sciences Program","PHD 1987 Univ of California Berkeley"
"MACDONALD,MARYELLEN","Professor","Psychology","PHD 1986 Univ of California Los Angeles"
"MACE,DAKOTA","Lecturer","Art","MFA 2017 Univ of Wisconsin-Madison"
"MACGUIDWIN,ANN E.","Professor","Plant Pathology","PHD 1983 Michigan State University"
"MACHADO,EMILY","Assistant Professor","Curriculum And Instruction","PHD 2018 Univ of Illinois at Chicago"
"MACHLEIDT,THOMAS","Adjunct Professor","Ms In Biotechnology Degree Prg","PHD 2016 Technische Universitat Munchen"
"MACHOIAN,RONALD","Senior Lecturer","Is Major","PHD 2002 Univ of Missouri-Kansas City"
"MACKAY,JOHN","Associate Professor","Philosophy","PHD 2011 Princeton University"
"MACOMBER,KELSEY","Assoc Lecturer","Dance","BS 2014 Univ of Wisconsin-Madison"
"MADDEN,CAITLIN","Adjunct Instructor","Law School","JD 2014 Univ of Wisconsin-Madison"
"MADDEN,HALEY","Outreach Specialist","General Administration","PHD 2017 Univ of Wisconsin-Madison"
"MADUREIRA,LUIS","Professor","African Cultural Studies","PHD 1991 Univ of California San Diego"
"MAEDA,HIROSHI","Associate Professor","Botany","PHD 2006 Michigan State University"
"MAES,MARINA","Asst Professor (Chs)","Pharmacy","PHARMD 2017 Univ of Colorado at Denver"
"MAGANTI,RAMA K","Professor (Chs)","Neurology","MBBS 1987 Guntur Medical College"
"MAGNOLFI,LORENZO","Assistant Professor","Economics","PHD 2016 Yale University"
"MAGNUSON,KATHERINE ANNE","Professor","Social Work","PHD 2002 Northwestern University"
"MAGUIRE,MICHAEL","Assoc Faculty Assoc","Civil Society And Comm Studies","MS 1992 Univ of Wisconsin-Madison"
"MAHER,JESSICA M","Lecturer","Ed Leadership&amp;Policy Analysis","PHD 2011 Univ of Michigan at Ann Arbor"
"MAHMOUD,AHMED I","Assistant Professor","Cell And Regenerative Biology","PHD 2012 Southwestern University"
"MAIER,JOSEPH MICHAEL","Adjunct Instructor","Law School","JD 1995 Univ of Wisconsin-Madison"
"MAJUMDER,ERICA L-W","Assistant Professor","Bacteriology","PHD 2015 Washington University"
"MAJUMDER,KINJAL","Assistant Professor","Oncology","PHD 2015 Washington University"
"MAKI,DENNIS G.","Professor Emer","Medicine","MD 1967 Univ of Wisconsin-Madison"
"MAKI,LYNN MARIE","Assoc Lecturer","Counseling Psychology","MA 2012 Edgewood College"
"MALECKI,KRISTEN","Associate Professor","Population Health Sciences","PHD 2005 Johns Hopkins University"
"MALITSKY,EUGENIA","Lecturer","Mathematics","MA 1991 Univ of California Berkeley"
"MALLOY,MATTHEW","Adjunct Asst Prof","Electrical &amp; Computer Engr","PHD  Univ of Wisconsin-Madison"
"MALONE,KRISTA-LEE MEGHAN","Faculty Associate","Curriculum And Instruction","PHD 2015 Univ of Wisconsin-Milwaukee"
"MALONE,MARY KATHRYN","Faculty Associate","Ft Mba Program Office","MS 2016 Harvard University"
"MALSON-HUDDLE,ELIZABETH","Senior Lecturer","Wisconsin School Of Business","PHD 2009 Univ of Wisconsin-Madison"
"MANDEL,MARK","Associate Professor","Medical Microbiology","PHD 2005 Princeton University"
"MANI,B. VENKAT","Professor","German, Nordic &amp; Slavic","PHD 2001 Stanford University"
"MANKOWSKI,JOEL E","Senior Lecturer","Communication Sci &amp; Disorders","MS 1994 McDaniel College"
"MANN,TERRY MICHAEL","Senior Lecturer","Industrial &amp; Systems Engr","MS 1998 Univ of Wisconsin-Madison"
"MANS,CHRISTOPH","Clinical Assoc Prof","Surgical Sciences","DVM 2006 Universitat Leipzig"
"MAO,LU","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2016 Univ Of NC At Chapel Hill"
"MARA,KATHRYN","Assoc Lecturer","African Cultural Studies","PHD 2020 Univ of Wisconsin-Madison"
"MARAVELIAS,CHRISTOS","Professor","Chemical &amp; Biological Engr","PHD 2004 Carnegie-Mellon University"
"MARCHE,JORDAN D.","Senior Lecturer","Astronomy","PHD 1999 Indiana University"
"MARCOTT,SHAUN ANDREW","Associate Professor","Geoscience","PHD 2011 Oregon State University"
"MARCOUILLER,DAVID","Professor","Planning &amp; Landscape Arch","PHD 1992 Oklahoma State University"
"MARES,MARIE-LOUISE","Professor","Communication Arts","PHD 1994 Univ of Wisconsin-Madison"
"MARES-PERLMAN,JULIE ANNE","Professor","Ophthalmology&amp;Visual Sciences","PHD 1987 Univ of Wisconsin-Madison"
"MARGOLIS,AMANDA","Asst Professor (Chs)","Pharmacy","PHARMD 2009 Univ of Wisconsin-Madison"
"MARI-BEFFA,GLORIA","Professor","Mathematics","PHD 1991 Univ of Minnesota-Twin Cities"
"MARIN-SPIOTTA,ERIKA","Professor","Geography","PHD 2006 Univ of California Berkeley"
"MARINEZ LORA,ANE MARIA","Lecturer","Educational Psychology","PHD 2003 Univ of Wisconsin-Madison"
"MARKEL,MARK D.","Professor","Medical Sciences","PHD 1990 Mayo Foundation"
"MARKER,PAUL","Professor","Pharmacy","PHD 1998 Stanford University"
"MARLER,CATHERINE","Professor","Psychology","PHD 1990 Arizona State University"
"MAROON,ELIZABETH","Assistant Professor","Atmospheric &amp; Oceanic Sciences","PHD 2011 Colorado State University"
"MARQUES,FERNANDO JAVIER","Clinical Assoc Prof","Medical Sciences","DVM 2005 Universidad de Buenos Aires"
"MARQUEZ,BENJAMIN","Professor","Political Science","PHD 1983 Univ of Wisconsin-Madison"
"MARSH FINCO,JAMIE","Assoc Faculty Assoc","Finance","MS 2004 Univ of Wisconsin-La Crosse"
"MARSH,ANN","Assoc Lecturer","Entomology","MS 2020 Univ of Wisconsin-Madison"
"MARSHALL,NANCY","Professor","Art History","PHD 1998 Yale University"
"MARSHALL,NOWELL ANDREW","Senior Lecturer","Wisconsin School Of Business","PHD 2009 Univ of California Riverside"
"MARSHALL,SIMON LINDSAY","Associate Professor","Mathematics","PHD 2010 Princeton University"
"MARSLAND,ROB","Senior Lecturer","Electrical &amp; Computer Engr",NA
"MARTELL,JEFFREY D","Assistant Professor","Chemistry","PHD 2015 Massachusetts Inst Of Tech"
"MARTIN,ANN SMART","Professor","Art History","PHD 1993 Clg of William &amp; Mary-Virginia"
"MARTIN,BETH","Professor (Chs)","Pharmacy","PHD 2006 Univ of Wisconsin-Madison"
"MARTIN,DARREN","Student Services Cord","Student Services","MS 2004 Univ of Wisconsin-Madison"
"MARTIN,JESSICA","Adjunct Professor","Ms In Biotechnology Degree Prg","MA 2009 Univ of Wisconsin-Madison"
"MARTIN,JOHN","Assoc Lecturer","Counseling Psychology","EDD 2009 Univ of Wisconsin-Madison"
"MARTIN,JONATHAN EDWARD","Professor","Atmospheric &amp; Oceanic Sciences","PHD 1992 University of Washington"
"MARTIN,KERRY","Faculty Associate","Integrative Biology","MS 2007 Univ of Wisconsin-Madison"
"MARTIN,LISA","Professor","Political Science","PHD 1989 Harvard University"
"MARTIN,THOMAS F J","Professor","Biochemistry","PHD 1974 Harvard University"
"MARTINEZ,MARCOS","Assoc Lecturer","Electrical &amp; Computer Engr","PHD 2016 Univ of Wisconsin-Madison"
"MARTINS,JP","Assistant Professor","Medical Sciences","PHD 2016 "
"MARTY,SARAH","Faculty Associate","Bolz Center For Arts Admin","MBA 2005 Univ of Wisconsin-Madison"
"MARULASIDDAPPA,SURESH","Professor","Pathobiological Sciences","PHD 1995 Univ Of Minnesota-St Paul"
"MASON,ANDREA H","Professor","Kinesiology","PHD 2001 Simon Fraser University"
"MASON,JOSEPH","Professor","Geography","PHD 1995 Univ of Wisconsin-Madison"
"MASROUR,FARID","Associate Professor","Philosophy","PHD 2008 University of Arizona"
"MASSOGLIA,MICHAEL A","Professor","Sociology","PHD 2006 Univ of Minnesota-Twin Cities"
"MASSON,PATRICK","Professor","Genetics","PHD 1985 Fac Des Sci Agro DE Gembloux"
"MASTERS,KRISTYN","Professor","Biomedical Engineering","PHD 2001 Rice University"
"MATHEWS,JIM","Lecturer","Art","PHD 2013 Univ of Wisconsin-Madison"
"MATHIEU,ROBERT D.","Professor","Astronomy","PHD 1983 Univ of California Berkeley"
"MATSUMURA,ELLA MAE","Professor","Accting &amp; Info Sys","PHD 1984 University of British Columbia"
"MATTHEWS,PERCIVAL G","Associate Professor","Educational Psychology","PHD 2010 Vanderbilt University"
"MATTHIES,ROBIN","Assoc Lecturer","Social Work","MSW 2014 Univ of Wisconsin-Madison"
"MATTILA,DANE","Lecturer","Counseling Psychology","EDM 2018 Univ of Wisconsin-La Crosse"
"MATTIS,KRISTINE","Asst Faculty Assoc","Integrative Biology","PHD 2014 Univ of Wisconsin-Madison"
"MATULIONIS,GAUDRIMAS","Asst Prof Of Mil Sci","Naval Science","MS 2015 Univ of California Los Angeles"
"MAUK,MATTHEW","Lecturer","Art","MFA 2017 Univ of Wisconsin-Madison"
"MAVRIKAKIS,MANOS","Professor","Chemical &amp; Biological Engr","PHD 1994 Univ of Michigan at Ann Arbor"
"MAWST,LUKE","Professor","Electrical &amp; Computer Engr","PHD 1987 Univ of IL at Urbana-Champaign"
"MAXIM,LAURENTIU","Professor","Mathematics","PHD 2005 University of Pennsylvania"
"MAYER,KENNETH","Professor","Political Science","PHD 1988 Yale University"
"MAYERS,JOSHUA B","Adjunct Asst Prof","Law, Society And Justice","JD 1991 Chicago-Kent College Of Law"
"MAYHEW,BRIAN W","Professor","Accting &amp; Info Sys","PHD 1997 University of Arizona"
"MAYNARD,DOUGLAS W.","Professor","Sociology","PHD 1979 U of California-Santa Barbara"
"MC ANULTY,JONATHAN FRANCIS","Professor","Surgical Sciences","PHD 1994 Univ of Wisconsin-Madison"
"MC CAMMON,DAN","Professor","Physics","PHD 1971 Univ of Wisconsin-Madison"
"MC CLAIN,ROB","Faculty Associate","Chemistry","PHD 1991 Univ of Wisconsin-Madison"
"MC DANIEL,SARAH","Lecturer","Information School","MA 1998 Univ of Wisconsin-Milwaukee"
"MC LEOD,DOUGLAS","Professor","Journalism&amp;Mass Communication","PHD 1989 Univ of Minnesota-Twin Cities"
"MC SHANE-HELLENBRAND,KAREN","Faculty Associate","Dance","MFA 1989 Univ of Wisconsin-Madison"
"MCANDREWS,CAREY","Associate Professor","Planning &amp; Landscape Arch","PHD 2009 Univ of California Berkeley"
"MCAULIFFE,NOREEN MARIE","Assoc Lecturer","English","MFA 2010 Univ of Wisconsin-Madison"
"MCBRIDE,ERIN K.","Clinical Assoc Prof","Law School","JD 2003 University of Iowa"
"MCCALLUM,JAMES SCOTT","Adjunct Assoc Prof","Lafollette Sch Of Publ Affairs","MA 2018 Johns Hopkins University"
"MCCARTHY,LIZ","Sr Advisor","Office Of Undergrad Advising","MS 1991 Southern IL Univ.-Carbondale"
"MCCARY,LINDSAY","Clinical Adjunct Asst Prof","Volunteer Staff","PHD 2011 Univ of Southern California"
"MCCLEAN,MEGAN","Assistant Professor","Biomedical Engineering","PHD 2009 Harvard University"
"MCCLURG,TIM","Senior Lecturer","Operations &amp; Information Mgmt","PHD 1993 Purdue University"
"MCCORD,ALEIA INGULLI","Assoc Faculty Assoc","Africa Center","PHD 2016 Univ of Wisconsin-Madison"
"MCCOY,ALFRED WILLIAM","Professor","History","PHD 1977 Yale University"
"MCCOY,M","Faculty Associate","Asian Studies","PHD 2005 Northwestern University"
"MCCOY,SARA","Asst Professor (Chs)","Medicine","MD 2010 Case Western Reserve Univ."
"MCCULLEY,DAVID JAMES","Assistant Professor","Pediatrics","MD 2001 Thomas Jefferson University"
"MCCULLOH,KATE","Associate Professor","Botany","PHD 2004 University of Utah"
"MCCULLOUGH,CHAD J","Assoc Lecturer","Mead Witter School Of Music","MM  University of Washington"
"MCCURDY,MARTHA L","Lecturer","Kinesiology","PHD 1988 Northwestern University"
"MCDERMOTT,MEGAN","Lecturer","Law School","JD 2000 Univ of California Berkeley"
"MCDERMOTT,ROBERT F","Professor","Physics","PHD 2002 Univ of California Berkeley"
"MCDONALD,DAVID MACLAREN","Professor","History","PHD 1988 Columbia University"
"MCDONALD,JOSEPH","Assoc Lecturer","Ed Leadership&amp;Policy Analysis","JD 2020 Univ of Wisconsin-Madison"
